t,cmd_vx,odom_vx,force_n,encoder_rpm
26.560000000000002,0.48847037876311244,0.8430587253642303,-5.565641282644638,0.0
26.580000000000002,0.48674475430500735,0.8074263968104329,-3.679804092433757,0.0
26.6,0.48518453051797306,0.806657262654032,-6.994995691829244,0.0
26.62,0.48381265071527657,0.8097549665082527,-2.262375480489259,0.0
26.64,0.4824841537703248,0.8065805929577937,-13.535652741087546,0.0
26.66,0.4802010118387998,0.794369948545251,-16.29159411721858,0.0
26.68,0.47694571870903546,0.8107321435154301,-16.780691055515597,0.0
26.7,0.47342060579189194,0.8042225556638668,-7.265399191435037,0.0
26.72,0.4703751792607447,0.7956933861635334,-3.30638222120413,0.0
26.740000000000002,0.4684836980463702,0.7943068940060273,-0.8690080478415434,0.0
26.76,0.46759998122850566,0.8054062356884242,0.9776340335592151,0.0
26.78,0.46754573357812135,0.8189620419092601,-3.5470576153851856,0.0
26.8,0.4676176802433118,0.8192722826002637,-8.295696632583066,0.0
26.82,0.4669693082817591,0.8331213552432654,-14.751665145191291,0.0
26.84,0.46666825383244914,0.8541109271629161,-8.175619849077952,0.0
26.86,0.4664510323895885,0.8631359627624219,-3.2331186097097175,0.0
26.88,0.46689055280354524,0.810553384020489,2.922317756357459,0.0
26.900000000000002,0.4686126337445491,0.784012590585883,-1.3517884195616672,0.0
26.92,0.470428225598499,0.8034308001286273,1.927394191007617,0.0
26.94,0.4722445813568902,0.8100339430341592,-3.982190339321356,0.0
26.96,0.47340039840667636,0.8193547600727281,-9.926660339321357,0.0
26.98,0.47315385135178434,0.8198079369286212,-17.314787339321356,0.0
27.0,0.47200652669721016,0.844904476353131,-16.22210774706896,0.0
27.02,0.46979023304188317,0.8577631335068142,-10.504334286211934,0.0
27.04,0.46792157373756815,0.8518457584325347,-4.496098672244784,0.0
27.060000000000002,0.46680324929497524,0.8366160758478998,-1.8048273113273101,0.0
27.080000000000002,0.46659729673082145,0.840523390601356,0.2289652144888758,0.0
27.1,0.466829590490356,0.8403105240281785,-4.559422061770433,0.0
27.12,0.46657442996784293,0.8255823226890164,-11.596773339321356,0.0
27.14,0.46541858682658444,0.8300247456079453,-15.503139339321356,0.0
27.16,0.46394301119172965,0.8541322865558914,-11.653387339321354,0.0
27.18,0.4619844402210396,0.8551926785805951,-13.475251038891754,0.0
27.2,0.46019248600155493,0.8047502857025228,-4.656803247120766,0.0
27.22,0.4592950689721843,0.767395014424587,-0.6013747041867263,0.0
27.240000000000002,0.45888592324188404,0.7889437409655271,-5.4231056721425785,0.0
27.26,0.4588274694914222,0.8030771775447236,-6.469682385254427,0.0
27.28,0.4584965218562832,0.7982205864040104,-14.14316877386454,0.0
27.3,0.4570484351059066,0.8031732142309693,-18.503681339321354,0.0
27.32,0.45448120838430156,0.8273676581817074,-19.86241733932135,0.0
27.34,0.45182858406539134,0.8191801225390998,-12.502597339321357,0.0
27.36,0.44995604648383686,0.798373528228483,-5.482461339321356,0.0
27.38,0.44896045613904206,0.8028659073490497,-0.28897558511130605,0.0
27.400000000000002,0.4487829156996068,0.8249699001770608,-0.6656581256933272,0.0
27.42,0.44969314029973595,0.8392665796231612,-1.9677266971174538,0.0
27.44,0.45110687155862467,0.8395918650185622,-6.715006618820547,0.0
27.46,0.4523034851489709,0.8551353538897155,-12.245375606494468,0.0
27.48,0.45381293373337994,0.8757329876211233,-3.3877433393213554,0.0
27.5,0.4552544327343587,0.8746825665070819,-6.671355339321355,0.0
27.52,0.45676637101980727,0.8276505719225735,-5.1710843393213555,0.0
27.54,0.4590220938062624,0.7780412468547561,1.311218660678643,0.0
27.560000000000002,0.4611479528973076,0.7860663185001808,-4.493279315751229,0.0
27.580000000000002,0.46339819367338203,0.7969356900670594,-4.681922171504021,0.0
