bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,angle_deg,rev,rpm
1780471664366897451,1780471664.366897345,1780471664,366590490,encoder,0.0,0.0,0
1780471664377003867,1780471664.377003908,1780471664,376587844,encoder,0.0,0.0,0
1780471664386847260,1780471664.386847258,1780471664,386585965,encoder,0.0,0.0,0
1780471664397026063,1780471664.397026062,1780471664,396613912,encoder,0.0,0.0,0
1780471664406923763,1780471664.406923771,1780471664,406618114,encoder,0.0,0.0,0
1780471664417048260,1780471664.417048216,1780471664,416601579,encoder,0.0,0.0,0
1780471664426988554,1780471664.426988602,1780471664,426604085,encoder,0.0,0.0,0
1780471664437075320,1780471664.437075377,1780471664,436598814,encoder,0.0,0.0,0
1780471664446957115,1780471664.446957111,1780471664,446609608,encoder,0.0,0.0,0
1780471664456990183,1780471664.456990242,1780471664,456582672,encoder,0.0,0.0,0
1780471664466998033,1780471664.466998100,1780471664,466623996,encoder,0.0,0.0,0
1780471664476997723,1780471664.476997614,1780471664,476580932,encoder,0.0,0.0,0
1780471664486984708,1780471664.486984730,1780471664,486601198,encoder,0.0,0.0,0
1780471664496994990,1780471664.496994972,1780471664,496599448,encoder,0.0,0.0,0
1780471664506958773,1780471664.506958723,1780471664,506597697,encoder,0.0,0.0,0
1780471664517117288,1780471664.517117262,1780471664,516609132,encoder,0.0,0.0,0
1780471664526918534,1780471664.526918650,1780471664,526591764,encoder,0.0,0.0,0
1780471664537107355,1780471664.537107468,1780471664,536619360,encoder,0.0,0.0,0
1780471664546904857,1780471664.546904802,1780471664,546597576,encoder,0.0,0.0,0
1780471664557835318,1780471664.557835340,1780471664,556621619,encoder,0.0,0.0,0
1780471664566945230,1780471664.566945314,1780471664,566589755,encoder,0.0,0.0,0
1780471664577145795,1780471664.577145815,1780471664,576608613,encoder,0.0,0.0,0
1780471664586990404,1780471664.586990356,1780471664,586620688,encoder,0.0,0.0,0
1780471664596907497,1780471664.596907616,1780471664,596596408,encoder,0.0,0.0,0
1780471664607109534,1780471664.607109547,1780471664,606635684,encoder,0.0,0.0,0
1780471664616985345,1780471664.616985321,1780471664,616598283,encoder,0.0,0.0,0
1780471664626972202,1780471664.626972198,1780471664,626606614,encoder,0.0,0.0,0
1780471664637012182,1780471664.637012243,1780471664,636611647,encoder,0.0,0.0,0
1780471664647081699,1780471664.647081614,1780471664,646609097,encoder,0.0,0.0,0
1780471664657231285,1780471664.657231331,1780471664,656640308,encoder,0.0,0.0,0
1780471664666880299,1780471664.666880369,1780471664,666610716,encoder,0.0,0.0,0
1780471664676955929,1780471664.676955938,1780471664,676609190,encoder,0.0,0.0,0
1780471664686965571,1780471664.686965466,1780471664,686615568,encoder,0.0,0.0,0
1780471664696937483,1780471664.696937561,1780471664,696609465,encoder,0.0,0.0,0
1780471664706869681,1780471664.706869602,1780471664,706611971,encoder,0.0,0.0,0
1780471664716971424,1780471664.716971397,1780471664,716608204,encoder,0.0,0.0,0
1780471664726943561,1780471664.726943493,1780471664,726628663,encoder,0.0,0.0,0
1780471664736963187,1780471664.736963272,1780471664,736613472,encoder,0.0,0.0,0
1780471664747053186,1780471664.747053146,1780471664,746631115,encoder,0.0,0.0,0
