bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,switch_1,switch_2
1780471547390746944,1780471547.390746832,1780471547,390179329,switch,False,False
1780471547400794148,1780471547.400794029,1780471547,400195780,switch,False,False
1780471547411495020,1780471547.411494970,1780471547,410342797,switch,False,False
1780471547420646752,1780471547.420646667,1780471547,420183750,switch,False,False
1780471547430973587,1780471547.430973530,1780471547,430363538,switch,False,False
1780471547440790699,1780471547.440790653,1780471547,440173897,switch,False,False
1780471547450907155,1780471547.450907230,1780471547,450178027,switch,False,False
1780471547460739051,1780471547.460739136,1780471547,460136427,switch,False,False
1780471547471110497,1780471547.471110582,1780471547,470223441,switch,False,False
1780471547481000477,1780471547.481000423,1780471547,480197969,switch,False,False
1780471547490694478,1780471547.490694523,1780471547,490208916,switch,False,False
1780471547501316978,1780471547.501317024,1780471547,500205877,switch,False,False
1780471547511458267,1780471547.511458158,1780471547,510184086,switch,False,False
1780471547521398810,1780471547.521398783,1780471547,520197880,switch,False,False
1780471547530813467,1780471547.530813456,1780471547,530324961,switch,False,False
1780471547540691702,1780471547.540691614,1780471547,540189659,switch,False,False
1780471547550795262,1780471547.550795317,1780471547,550237887,switch,False,False
1780471547560786559,1780471547.560786486,1780471547,560183326,switch,False,False
1780471547571447301,1780471547.571447372,1780471547,570222338,switch,False,False
1780471547580757185,1780471547.580757141,1780471547,580334890,switch,False,False
1780471547590754498,1780471547.590754509,1780471547,590207620,switch,False,False
1780471547601058933,1780471547.601058960,1780471547,600219783,switch,False,False
1780471547611174237,1780471547.611174345,1780471547,610370929,switch,False,False
1780471547620858637,1780471547.620858669,1780471547,620210634,switch,False,False
1780471547631254084,1780471547.631254196,1780471547,630481946,switch,False,False
1780471547641733312,1780471547.641733408,1780471547,640212525,switch,False,False
1780471547650887860,1780471547.650887966,1780471547,650216335,switch,False,False
1780471547662682519,1780471547.662682533,1780471547,660250099,switch,False,False
1780471547672027893,1780471547.672027826,1780471547,670434654,switch,False,False
1780471547682695740,1780471547.682695627,1780471547,680769522,switch,False,False
1780471547691824750,1780471547.691824675,1780471547,690672175,switch,False,False
1780471547700829849,1780471547.700829744,1780471547,700200983,switch,False,False
1780471547710970274,1780471547.710970163,1780471547,710186136,switch,False,False
1780471547721235475,1780471547.721235514,1780471547,720270878,switch,False,False
1780471547730827198,1780471547.730827093,1780471547,730212829,switch,False,False
1780471547740683096,1780471547.740683079,1780471547,740243296,switch,False,False
1780471547750997963,1780471547.750998020,1780471547,750220800,switch,False,False
1780471547761483271,1780471547.761483192,1780471547,760247108,switch,False,False
1780471547770575959,1780471547.770576000,1780471547,770205795,switch,False,False
1780471547781373924,1780471547.781373978,1780471547,780207845,switch,False,False
1780471547792269815,1780471547.792269707,1780471547,790240488,switch,False,False
1780471547800903726,1780471547.800903797,1780471547,800229097,switch,False,False
1780471547810649538,1780471547.810649633,1780471547,810207370,switch,False,False
1780471547821046265,1780471547.821046352,1780471547,820202827,switch,False,False
1780471547831360940,1780471547.831361055,1780471547,830606947,switch,False,False
1780471547841311947,1780471547.841311932,1780471547,840248465,switch,False,False
1780471547850946041,1780471547.850945950,1780471547,850203888,switch,False,False
1780471547860878871,1780471547.860878944,1780471547,860211475,switch,False,False
1780471547870905018,1780471547.870904922,1780471547,870297081,switch,False,False
1780471547882100381,1780471547.882100344,1780471547,880232087,switch,False,False
1780471547891283346,1780471547.891283274,1780471547,890272923,switch,False,False
1780471547900610223,1780471547.900610209,1780471547,900213241,switch,False,False
1780471547910637714,1780471547.910637617,1780471547,910217275,switch,False,False
1780471547921125647,1780471547.921125650,1780471547,920411272,switch,False,False
1780471547930910693,1780471547.930910587,1780471547,930223295,switch,False,False
1780471547941042317,1780471547.941042423,1780471547,940506160,switch,False,False
1780471547950619704,1780471547.950619698,1780471547,950215714,switch,False,False
1780471547961178328,1780471547.961178303,1780471547,960237093,switch,False,False
1780471547970800677,1780471547.970800638,1780471547,970231558,switch,False,False
1780471547981356645,1780471547.981356621,1780471547,980305516,switch,False,False
1780471547990868813,1780471547.990868807,1780471547,990217961,switch,False,False
1780471548000995989,1780471548.000995874,1780471548,239980,switch,False,False
1780471548010732104,1780471548.010732174,1780471548,10250190,switch,False,False
1780471548021299657,1780471548.021299601,1780471548,20229679,switch,False,False
1780471548030857651,1780471548.030857563,1780471548,30227441,switch,False,False
1780471548041111555,1780471548.041111469,1780471548,40340184,switch,False,False
1780471548050833941,1780471548.050833941,1780471548,50265686,switch,False,False
1780471548060686575,1780471548.060686588,1780471548,60225110,switch,False,False
1780471548071166315,1780471548.071166277,1780471548,70210743,switch,False,False
1780471548080757014,1780471548.080756903,1780471548,80221913,switch,False,False
1780471548091046056,1780471548.091046095,1780471548,90223515,switch,False,False
1780471548100873056,1780471548.100872993,1780471548,100222333,switch,False,False
1780471548111226293,1780471548.111226320,1780471548,110218942,switch,False,False
1780471548121037037,1780471548.121037006,1780471548,120327558,switch,False,False
1780471548130978251,1780471548.130978346,1780471548,130230499,switch,False,False
1780471548140660796,1780471548.140660763,1780471548,140234149,switch,False,False
1780471548150898923,1780471548.150898933,1780471548,150204709,switch,False,False
1780471548161044564,1780471548.161044598,1780471548,160236680,switch,False,False
1780471548171021973,1780471548.171021938,1780471548,170224105,switch,False,False
1780471548181055480,1780471548.181055546,1780471548,180236620,switch,False,False
1780471548190936404,1780471548.190936327,1780471548,190233997,switch,False,False
1780471548200799630,1780471548.200799704,1780471548,200229135,switch,False,False
1780471548210697450,1780471548.210697412,1780471548,210222736,switch,False,False
1780471548221060224,1780471548.221060276,1780471548,220227314,switch,False,False
1780471548231049409,1780471548.231049299,1780471548,230226324,switch,False,False
