bag_time_ns,bag_time_sec,version_h,version_l,bms_status,soc,current,cycle,bq_ntc,mcu_ntc,cell_vol
1780471465173343616,1780471465.173343658,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465194284421,1780471465.194284439,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465213880131,1780471465.213880062,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465233167567,1780471465.233167648,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465253241318,1780471465.253241301,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465273793111,1780471465.273793221,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465293067587,1780471465.293067694,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465315544475,1780471465.315544367,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465333222834,1780471465.333222866,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465353426384,1780471465.353426456,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465373378880,1780471465.373378992,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465393196809,1780471465.393196821,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465413189660,1780471465.413189650,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465433378009,1780471465.433377981,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465453219428,1780471465.453219414,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465473585322,1780471465.473585367,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465493191528,1780471465.493191481,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465513309570,1780471465.513309479,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465533658695,1780471465.533658743,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465553217507,1780471465.553217411,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465573406464,1780471465.573406458,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465593159142,1780471465.593159199,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465613162841,1780471465.613162756,1,4,1,40,-9078,62,"[43,42]","[36,39]","[3424,3520,32,32,3520,3552,3520,32,32,3456]"
1780471465633407641,1780471465.633407593,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465653132477,1780471465.653132439,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465673774067,1780471465.673774004,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465693200423,1780471465.693200350,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465713029745,1780471465.713029861,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465733064646,1780471465.733064651,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465753141501,1780471465.753141403,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465773204948,1780471465.773205042,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465793731651,1780471465.793731689,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465813848220,1780471465.813848257,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465833143369,1780471465.833143473,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465852999157,1780471465.852999210,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
