bag_time_ns,bag_time_sec,data
1780471684468104292,1780471684.468104362,True
1780471684478189812,1780471684.478189707,True
1780471684490176621,1780471684.490176678,True
1780471684498111877,1780471684.498111963,True
1780471684508566825,1780471684.508566856,True
1780471684518076600,1780471684.518076658,True
1780471684528113221,1780471684.528113127,True
1780471684538241015,1780471684.538240910,True
1780471684548055255,1780471684.548055172,True
1780471684558220011,1780471684.558219910,True
1780471684568066637,1780471684.568066597,True
1780471684578231649,1780471684.578231573,True
1780471684588174504,1780471684.588174582,True
1780471684598299354,1780471684.598299265,True
1780471684608151548,1780471684.608151436,True
1780471684618159687,1780471684.618159771,True
1780471684628250391,1780471684.628250360,True
1780471684638168477,1780471684.638168573,True
1780471684648229931,1780471684.648229837,True
1780471684658156082,1780471684.658156157,True
1780471684668238465,1780471684.668238401,True
1780471684678151911,1780471684.678151846,True
1780471684688099119,1780471684.688099146,True
1780471684698242241,1780471684.698242188,True
1780471684708152647,1780471684.708152533,True
1780471684718295642,1780471684.718295574,True
1780471684728112218,1780471684.728112221,True
1780471684738584991,1780471684.738584995,True
1780471684748134225,1780471684.748134136,True
1780471684758223392,1780471684.758223295,True
1780471684768204042,1780471684.768203974,True
1780471684778285721,1780471684.778285742,True
1780471684788253922,1780471684.788254023,True
1780471684798282414,1780471684.798282385,True
1780471684808173203,1780471684.808173180,True
1780471684818270819,1780471684.818270922,True
1780471684828068354,1780471684.828068256,True
1780471684838260056,1780471684.838260174,True
1780471684848251330,1780471684.848251343,True
1780471684858214602,1780471684.858214617,True
1780471684868003497,1780471684.868003607,True
1780471684878349799,1780471684.878349781,True
1780471684888163720,1780471684.888163805,True
1780471684898095118,1780471684.898095131,True
1780471684909980258,1780471684.909980297,True
1780471684918422710,1780471684.918422699,True
1780471684929512157,1780471684.929512262,True
1780471684938303333,1780471684.938303232,True
1780471684948336305,1780471684.948336363,True
1780471684958286745,1780471684.958286762,True
1780471684968400330,1780471684.968400240,True
1780471684978449879,1780471684.978449821,True
1780471684988462051,1780471684.988461971,True
1780471684998304069,1780471684.998304129,True
1780471685008217931,1780471685.008218050,True
1780471685018148017,1780471685.018147945,True
1780471685028205311,1780471685.028205395,True
1780471685038171912,1780471685.038172007,True
1780471685048191988,1780471685.048192024,True
1780471685058370313,1780471685.058370352,True
1780471685068248781,1780471685.068248749,True
1780471685078302362,1780471685.078302383,True
1780471685088191839,1780471685.088191748,True
1780471685098184489,1780471685.098184586,True
1780471685108094767,1780471685.108094692,True
1780471685118277700,1780471685.118277788,True
1780471685128193898,1780471685.128193855,True
1780471685138427330,1780471685.138427258,True
1780471685148222209,1780471685.148222208,True
1780471685158305392,1780471685.158305407,True
1780471685168276825,1780471685.168276787,True
1780471685178247490,1780471685.178247452,True
1780471685188268206,1780471685.188268185,True
1780471685198451939,1780471685.198451996,True
1780471685208202688,1780471685.208202600,True
1780471685218189802,1780471685.218189716,True
1780471685228190133,1780471685.228190184,True
1780471685238281253,1780471685.238281250,True
1780471685248352243,1780471685.248352289,True
1780471685258269657,1780471685.258269548,True
1780471685268152478,1780471685.268152475,True
1780471685278280015,1780471685.278280020,True
1780471685288118929,1780471685.288118839,True
1780471685298389515,1780471685.298389435,True
1780471685308096933,1780471685.308096886,True
1780471685318473125,1780471685.318473101,True
1780471685328423277,1780471685.328423262,True
1780471685338235213,1780471685.338235140,True
1780471685348325469,1780471685.348325491,True
1780471685358186816,1780471685.358186722,True
1780471685368197451,1780471685.368197441,True
1780471685378219959,1780471685.378219843,True
1780471685388262500,1780471685.388262510,True
1780471685398578272,1780471685.398578167,True
1780471685408185941,1780471685.408185959,True
1780471685418276005,1780471685.418276072,True
1780471685428174122,1780471685.428174019,True
1780471685438272634,1780471685.438272715,True
1780471685448235619,1780471685.448235512,True
1780471685458504125,1780471685.458504200,True
1780471685468180181,1780471685.468180180,True
1780471685478237411,1780471685.478237391,True
1780471685489724865,1780471685.489724874,True
1780471685498199735,1780471685.498199701,True
1780471685508315208,1780471685.508315325,True
1780471685518236398,1780471685.518236399,True
1780471685528171221,1780471685.528171301,True
1780471685538225827,1780471685.538225889,True
1780471685548368694,1780471685.548368692,True
1780471685558317501,1780471685.558317423,True
1780471685568126206,1780471685.568126202,True
1780471685578339060,1780471685.578339100,True
1780471685588073296,1780471685.588073254,True
1780471685598378892,1780471685.598378897,True
1780471685608163306,1780471685.608163357,True
1780471685618321086,1780471685.618321180,True
1780471685628207938,1780471685.628207922,True
1780471685638190572,1780471685.638190508,True
1780471685648324862,1780471685.648324966,True
1780471685658214083,1780471685.658214092,True
1780471685668295378,1780471685.668295383,True
1780471685678197431,1780471685.678197384,True
1780471685688302696,1780471685.688302755,True
1780471685698286866,1780471685.698286772,True
1780471685708306270,1780471685.708306313,True
1780471685718426063,1780471685.718425989,True
1780471685728291410,1780471685.728291512,True
1780471685740855979,1780471685.740855932,True
1780471685749739160,1780471685.749739170,True
1780471685758460252,1780471685.758460283,True
1780471685768406083,1780471685.768406153,True
